Date,Open,Low,High,Close,Volume
2021.02.01,1.21301,1.21364,1.20616,1.20665,60516
2021.02.02,1.20662,1.20876,1.20117,1.20198,58896
2021.02.03,1.20196,1.205,1.20042,1.20254,50216
2021.02.04,1.20255,1.20428,1.19574,1.19658,51472
2021.02.05,1.19659,1.20474,1.19522,1.20426,67985
2021.02.06,1.20427,1.20498,1.20406,1.20492,2672
2021.02.08,1.20426,1.20661,1.20197,1.20555,57056
2021.02.09,1.20555,1.21209,1.20472,1.21187,64694
2021.02.10,1.21187,1.2144,1.21088,1.2129,49275
2021.02.11,1.2129,1.21493,1.21135,1.21307,46614
2021.02.12,1.21307,1.21372,1.20815,1.21158,55555
2021.02.13,1.21158,1.21209,1.21132,1.21189,2212
2021.02.15,1.2124,1.21452,1.21167,1.21304,38609
2021.02.16,1.21304,1.21694,1.20949,1.21154,61639
2021.02.17,1.21155,1.21179,1.20234,1.2037,70486
2021.02.18,1.2037,1.20897,1.2035,1.20853,60713
2021.02.19,1.20852,1.21443,1.20823,1.21155,59508
2021.02.20,1.21154,1.21195,1.21142,1.21174,2207
2021.02.22,1.21131,1.21694,1.20912,1.21674,64164
2021.02.23,1.21674,1.21802,1.21353,1.21442,64554
2021.02.24,1.21442,1.21745,1.21092,1.2148,82007
2021.02.25,1.21475,1.22432,1.21475,1.21856,101740
2021.02.26,1.2185,1.21873,1.2072,1.20777,132669
2021.02.27,1.20781,1.20793,1.20622,1.20727,5446
2021.03.01,1.20688,1.21012,1.20278,1.2046,79590
2021.03.02,1.20461,1.20892,1.19915,1.20839,81095
2021.03.03,1.20839,1.21132,1.20429,1.20651,70359
2021.03.04,1.2065,1.20729,1.19645,1.19661,91041
2021.03.05,1.1966,1.19767,1.18928,1.19125,100359
2021.03.06,1.19125,1.19228,1.19106,1.1912,3079
2021.03.08,1.19166,1.19321,1.18457,1.18581,96617
2021.03.09,1.18581,1.19157,1.18356,1.19001,94541
2021.03.10,1.19001,1.19248,1.18687,1.19206,87778
2021.03.11,1.1921,1.19898,1.19158,1.19816,86531
2021.03.12,1.19816,1.199,1.19098,1.19488,83655
2021.03.13,1.19488,1.19612,1.19475,1.19519,3251
2021.03.15,1.19473,1.19674,1.19111,1.19297,65326
2021.03.16,1.19297,1.19517,1.18823,1.19049,67572
2021.03.17,1.19051,1.19851,1.18863,1.19771,71214
2021.03.18,1.19771,1.1989,1.19062,1.19103,85629
2021.03.19,1.19103,1.19372,1.18738,1.19052,74577
2021.03.20,1.19052,1.19072,1.19021,1.19044,1164
2021.03.22,1.18828,1.19467,1.18744,1.19363,58918
2021.03.23,1.19362,1.19407,1.18477,1.18481,64470
2021.03.24,1.1848,1.18532,1.18123,1.18125,65092
2021.03.25,1.18125,1.18277,1.17619,1.17672,72880
2021.03.26,1.17673,1.18049,1.17621,1.17978,53912
2021.03.27,1.17978,1.17999,1.17917,1.1793,1347
2021.03.29,1.17907,1.17937,1.17606,1.17644,60339
2021.03.30,1.17633,1.17737,1.17116,1.17161,56807
2021.03.31,1.17169,1.1726,1.17107,1.1711,5362
